time,gx,gy,gz,ax,ay,az,label
1700454487.0,-0.17736639,-0.17283903,0.0021305273,1.5143325,8.619724,3.6373909,1.0
1700454723.0,0.00585895,-0.014247901,-0.19680746,1.1384429,7.1155677,4.074931,1.0
1700455017.0,0.11491532,-0.371777,-0.12916322,2.268506,13.616424,3.620033,1.0
1700454723.0,0.34035173,0.29920593,0.14620744,0.57760113,8.354567,4.63697,1.0
1700454907.0,-0.38975334,-0.5089297,-0.2752375,2.8526914,12.35887,4.7099934,1.0
1700454487.0,-0.116912685,-1.3502216,-0.048469495,0.76195467,7.0862384,11.875839,1.0
1700455017.0,-0.082824245,0.64981085,0.29308066,0.557849,6.0699,1.553837,1.0
1700454907.0,0.46751758,-0.04101265,0.011451584,0.8523358,10.442909,3.4171243,1.0
1700455017.0,-0.30226856,-0.64022344,-0.21877852,0.33279404,6.5577183,1.7531542,1.0
1700454487.0,0.32637015,0.4924181,0.19654115,0.15263036,6.6367273,2.9352913,1.0
1700454907.0,0.74421984,0.10466215,-0.013582111,-0.37469256,9.977237,4.0372224,1.0
1700455017.0,0.37963334,-0.6486124,-0.2159822,2.2577322,13.206416,4.1060557,1.0
1700455017.0,-0.07936214,0.43622547,0.19068219,0.9828198,6.3302693,1.7435774,1.0
1700454723.0,-0.15126744,-0.23622221,-0.23449115,0.9888053,6.9886746,4.879383,1.0
1700454907.0,-0.9957552,0.29561067,0.17683376,-1.0630256,6.895301,3.7565024,1.0
1700454487.0,-0.26298696,-0.21198747,0.23648852,1.7405846,9.208099,4.5256395,1.0
1700454723.0,0.20013641,-0.33609068,-0.05872266,1.0594343,11.074979,6.3607955,1.0
1700455017.0,0.11611374,0.35899386,-0.0988032,0.62488663,8.908825,6.9108634,1.0
1700455017.0,-0.009986847,0.27856645,0.041278966,-1.4856021,7.317279,3.293823,1.0
1700454723.0,0.18136114,-0.03701791,0.14500901,-1.508347,9.3260145,5.7179523,1.0
1700454907.0,0.41185755,-0.43729073,-0.28362644,1.9075803,13.143569,3.769072,1.0
1700454723.0,-0.3154512,-0.26778066,-0.2543317,0.4333505,6.235698,2.6749218,1.0
1700455017.0,0.5495429,-0.53249866,-0.018375797,1.6519991,12.206239,6.169259,1.0
1700454487.0,-0.057391077,0.30040434,0.4091944,1.5113398,7.8853035,3.1842883,1.0
1700454907.0,0.33595753,0.6944187,-0.19520956,0.16400282,9.698911,3.958214,1.0
1700454723.0,-0.514256,0.2428801,-0.02796317,-1.0582372,7.4603324,4.0539823,1.0
1700455017.0,0.1599227,0.65953135,-0.2410159,-1.3916297,7.901464,4.1491513,1.0
1700454907.0,0.6225134,-0.0972053,-0.05273055,1.1348516,9.919178,3.3010056,1.0
1700454487.0,0.40613177,-0.87484777,-0.38136438,3.5206735,8.149264,7.4776907,1.0
1700454487.0,-0.0021305273,-0.637294,0.33795488,-0.40222588,6.1004257,6.8318543,1.0
1700454723.0,0.17030902,0.34581122,0.025033696,0.86969376,8.21271,4.0078936,1.0
1700454723.0,-0.17523587,0.2083922,0.3008038,-0.025737667,6.7923503,3.3135753,1.0
1700454487.0,0.12929638,-1.1859047,-0.42703757,1.6496049,6.927623,8.468291,1.0
1700454487.0,0.44741073,0.55180657,-0.15699323,2.534861,8.496424,6.1106014,1.0
1700455017.0,-0.18269272,-0.08468846,-0.49015445,0.9923966,8.902241,4.1162314,1.0
1700454907.0,0.8082688,-0.08775109,0.06657898,-0.13467385,10.186729,3.2854433,1.0
1700454487.0,0.6016076,-0.058190025,-0.47510758,2.441487,11.003153,4.0222588,1.0
1700454723.0,-0.43942127,0.18761955,0.047137916,-1.0342951,7.189788,4.1653123,1.0
1700455017.0,0.20479694,-0.14860427,-0.21025641,0.7009025,8.303091,1.4999673,1.0
1700454487.0,-0.11664637,-0.15339796,-0.14434323,1.3012487,8.084022,3.3572693,1.0
1700454487.0,-0.22130851,-0.20439745,0.13156006,1.7184383,8.951322,4.07553,1.0
1700455017.0,0.107724786,0.4665855,0.11331742,0.9720459,9.2865095,1.7830818,1.0
1700454723.0,0.052996866,0.17097482,0.25353274,-0.12270284,7.101801,3.8947675,1.0
1700454907.0,-0.23675485,0.7024082,-0.12570111,1.3180081,7.700351,1.5562311,1.0
1700454723.0,0.38242966,-0.0071905297,0.17936377,-0.30765492,8.030751,3.6014779,1.0
1700454487.0,-0.030360013,-0.22570273,-0.33702278,0.9708488,6.741473,3.3087866,1.0
1700454907.0,-0.80201036,-0.049667917,0.25579643,-0.79487497,6.0441623,3.9246953,1.0
1700454487.0,0.3876228,0.43835598,0.12450269,0.15263036,6.6367273,2.9352913,1.0
1700455017.0,-0.10359689,0.48735812,0.24740748,0.089184016,5.8244944,1.2384008,1.0
1700455017.0,0.55886394,-0.69122297,-0.18122798,2.0817583,12.480375,5.313332,1.0
1700454907.0,-0.4969455,0.007989477,0.22556958,-0.3441665,5.3737855,3.570952,1.0
1700454907.0,0.88496774,-0.2938796,-0.078430034,1.678934,8.69993,4.378995,1.0
1700454487.0,0.072571084,0.14594112,0.49388286,0.18076223,7.563283,3.6984432,1.0
