Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index
1697515170808.0,39.9494267,116.3402389,1.697489,9.926959,1.8231846,-0.6097303,0.030226856,-0.13062796,4139
1697515170815.0,39.9494205,116.3401952,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170815.0,39.949413,116.3401482,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170818.0,39.9493992,116.3401001,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170823.0,39.9493889,116.3400629,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170830.0,39.9493765,116.3399945,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170830.0,39.9493641,116.3399316,0.97264445,10.048465,2.678513,-0.59428394,0.08721846,-0.20572904,4140
1697515170869.0,39.9493461,116.3398274,-0.20470424,9.980828,3.840898,-0.5012065,0.14594112,-0.23981747,4141
1697515170869.0,39.9493375,116.3397782,-0.20470424,9.980828,3.840898,-0.5012065,0.14594112,-0.23981747,4141
1697515170875.0,39.9493297,116.3397291,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170880.0,39.9493144,116.3396741,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170880.0,39.9493004,116.3396205,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170883.0,39.9492877,116.339565,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170885.0,39.9492741,116.3395166,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170887.0,39.9492671,116.339466,-1.1869255,9.664794,4.667496,-0.07603319,0.09640636,-0.09653952,4143
1697515170895.0,39.949261,116.339413,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170895.0,39.9492574,116.339355,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
