Lid,Start_x,Start_y,End_x,End_y,Length_c,Length_t
24,-597.4210349,-153.7788558,-621.6901882,-61.19653058,95.71038995344627,89.33382947792015
25,-621.6901882,-61.19653058,-546.1861559,-30.63537466,81.45454649512197,76.02776010353652
26,-546.1861559,-30.63537466,-517.4227151,-20.74794187,30.41540487700061,28.38902436930294
27,-517.4227151,-20.74794187,-485.0638441,-14.45593918,32.964918174410954,30.768680185911016
28,-485.0638441,-14.45593918,-464.390121,-9.062794019,21.365599489438384,19.94214862578042
29,-464.390121,-9.062794019,-379.8975134,7.116641465,86.02775640238738,80.29628679349253
30,-379.8975134,7.116641465,-343.0443548,15.20635921,37.73060868831193,35.21686375219312
31,-343.0443548,15.20635921,-316.078629,18.80178931,27.204365192460813,25.39191536405242
32,-316.078629,18.80178931,-308.8877688,20.59950437,7.412169038337865,6.918344447812499
33,-308.8877688,20.59950437,-277.4277554,28.68922211,32.483472355046175,30.31930996862415
34,-277.4277554,28.68922211,-245.9677419,30.48693716,31.511334926041783,29.411939730617352
35,-245.9677419,30.48693716,-238.7768817,10.71207157,21.041715222826063,19.639842660271345
36,-238.7768817,10.71207157,-229.7883065,-0.07421875,14.040603369990212,13.105169332523992
37,-229.7883065,-0.07421875,-215.406586,-61.19653058,62.79148738470748,58.60809917730831
38,-215.406586,-61.19653058,-187.5420027,-56.70224294,28.224698826979452,26.34427080802261
39,-187.5420027,-56.70224294,-27.5453629,-19.84908434,164.18611404771022,153.2474616613174
40,-20.35450269,-63.89310316,-60.8030914,-73.78053595,41.639520359959796,38.86535007524637
41,-60.8030914,-73.78053595,-100.3528226,-86.36454133,41.503474907483614,38.73836844599311
42,-100.3528226,-86.36454133,-100.3528226,-103.4428343,17.078292970000007,15.94047744135231
43,-100.3528226,-103.4428343,-96.75739247,-132.2062752,28.98728428513965,27.056050159405057
44,-96.75739247,-132.2062752,-85.97110215,-190.6320144,59.413054625509226,55.454749408702874
45,-14.0625,-87.26339886,-100.3528226,-103.4428343,87.79404254030679,81.94489677962731
46,-96.75739247,-132.2062752,-166.8682796,-148.3857107,71.95353102700561,67.15973547101095
47,-166.8682796,-148.3857107,-165.969422,-159.172001,10.82367790637506,10.102566679357942
48,-165.969422,-159.172001,-154.2842742,-207.7103075,49.92504258381547,46.59886186891333
49,-166.8682796,-148.3857107,-173.1602823,-125.015415,24.20247960607024,22.59002588039991
50,-173.1602823,-125.015415,-187.5420027,-56.70224294,69.81062496900411,65.15959729932634
51,-173.1602823,-125.015415,-226.1928763,-142.9925655,55.99673174809835,52.26603389390257
52,-226.1928763,-142.9925655,-298.1014785,-156.4754284,73.16170215582767,68.2874140193361
53,-298.1014785,-156.4754284,-291.8094758,-184.3400118,28.566139151666327,26.66296318569759
54,-291.8094758,-184.3400118,-289.1129032,-201.4183048,17.289869738691458,16.13795822671913
55,-289.1129032,-201.4183048,-283.7197581,-222.0920279,21.36559947404071,19.94214861140859
56,-283.7197581,-222.0920279,-278.3266129,-250.8554687,29.264680791072823,27.314965541223668
