Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index,Distance
1700454316666.0,39.9496725,116.3318841,2.082357,7.7183075,2.5169046,0.15659375,0.35127068,-0.7736477,25173,605.6632617305268
1700454316666.0,39.9496725,116.3318872,1.8908207,8.559271,3.007716,0.27883276,0.5032039,-0.661795,25174,605.6880772377242
1700454316666.0,39.9496745,116.3318909,1.6292542,9.390657,3.3955765,0.28589013,0.5309008,-0.49494812,25175,605.7164084475895
1700454316678.0,39.9496387,116.3320462,1.2707225,10.141838,3.8672342,0.20706062,0.4154528,-0.24847275,25176,605.7540252930709
1700454316694.0,39.9496335,116.3321221,0.89662856,10.682928,4.6818614,0.08482162,0.17510271,0.051532127,25177,605.7752700869567
1700454317599.0,39.9496276,116.3321476,4.7417164,11.697471,4.5364137,-0.057524238,-0.5528718,0.047803707,25213,606.7230231480988
1700454318575.0,39.9496245,116.3321599,1.816002,7.81228,3.0843303,0.27670223,-0.1615206,0.013981585,25262,607.884875896676
1700454319595.0,39.9496207,116.3321717,-0.9487024,11.100717,8.998009,0.11158637,-0.26431856,0.2993391,25313,609.3251625801362
1700454355559.0,39.949614,116.3321846,0.2741361,9.69532,3.2333694,0.31771487,0.39960703,0.21225378,27109,654.1513526441047
1700454355621.0,39.9496052,116.3321881,0.85772276,11.423933,3.068768,0.18322535,0.09574057,-0.21718062,27113,654.2732740982858
1700454355633.0,39.9495962,116.3321816,0.6907272,11.956045,4.1677065,0.11611374,-0.06711161,-0.21784641,27114,654.3156541003395
1700454355633.0,39.9495886,116.3321717,0.8206126,12.146982,4.9158945,0.055127393,-0.24714117,-0.216648,27115,654.3742471321065
1700454355633.0,39.9495818,116.3321594,0.85772276,11.978191,5.4258595,0.023169484,-0.3997402,-0.17630114,27116,654.3742471321065
1700454355635.0,39.9495767,116.3321469,1.3144168,11.75553,5.8903346,-0.009054741,-0.5780387,-0.15579481,27117,654.4110831544405
1700454355635.0,39.9495702,116.3321395,1.946486,11.442489,5.5150437,-0.1950764,-0.64594924,-0.11864374,27118,654.4406562909475
1700454355636.0,39.9495617,116.3321329,2.088941,11.067796,5.3875523,-0.44994074,-0.7287735,-0.076565824,27119,654.4725424237906
1700454355636.0,39.9495543,116.3321321,2.2822728,10.636241,5.799355,-0.50014126,-0.6775077,-0.12516847,27120,654.501799188974
1700454355640.0,39.9495517,116.332143,2.3876176,10.3214035,6.5271926,-0.31917962,-0.50626653,-0.23449115,27121,654.5377890058446
1700454355643.0,39.9495541,116.3321546,1.9237411,10.080188,6.5547256,-0.1900164,-0.3372891,-0.29254803,27122,654.562483242249
1700454355646.0,39.9495596,116.332164,1.1623849,9.816227,6.4541693,-0.2350238,-0.48056707,-0.24501064,27123,654.589067942114
1700454355665.0,39.9495828,116.3321982,0.6787562,9.394848,5.837662,-0.40426755,-0.70800084,-0.13675322,27124,654.6184006944078
1700454355685.0,39.9495814,116.33242,0.21188685,8.924387,5.2139726,-0.47510758,-0.83223724,-0.01571264,27125,654.6411455480201
1700454356566.0,39.9495827,116.3324489,0.3657143,5.8029466,1.963844,0.30679592,0.39987335,0.20599535,27160,655.4540533241261
1700454357596.0,39.9495849,116.3324606,0.59376204,6.0238113,5.993285,0.13435638,0.19547588,0.3119891,27211,656.7547795598558
1700454358592.0,39.9495881,116.3324744,0.46746787,8.249821,3.933075,0.008655267,0.5966808,-0.28908592,27261,658.0211667099142
1700454359597.0,39.9495931,116.3324947,-1.2443863,9.878476,8.610746,-0.8130625,0.11411637,0.44954127,27311,659.303616395562
1700454360577.0,39.9495954,116.3325106,0.98222125,9.8994255,4.4316673,-0.24035011,0.11278479,0.34341437,27360,660.4944377927959
1700454361584.0,39.9495962,116.3325255,0.9947908,10.603321,5.3300915,0.17017587,0.7695198,0.33808804,27411,661.7455187855486
1700454362592.0,39.9496005,116.3325438,3.140594,7.6045833,2.834735,-0.07230477,-0.033422645,-0.20546272,27461,663.0165199356669
1700454363580.0,39.9496044,116.3325534,0.4237737,5.511452,3.3692403,0.01824264,-0.6581998,-0.40826228,27510,664.3052694120247
1700454364598.0,39.9496117,116.3325741,0.8678981,8.180987,5.6227827,0.10026794,-0.55913025,-0.4053328,27561,665.6036449388848
1700454365597.0,39.9496174,116.3325907,3.6595373,11.918935,5.529409,0.12250532,-0.9572725,-0.028762119,27611,666.8258978616244
1700454366581.0,39.9496223,116.3326063,1.6891093,10.9343195,5.209783,0.15366428,-0.20279956,0.6197171,27660,667.9833325024841
1700454402609.0,39.9496266,116.3326251,-1.8728642,8.069058,2.260725,-0.11864374,0.5235771,-0.27856645,29460,715.2390600884271
1700454402682.0,39.9496318,116.3326417,-0.18136078,5.9148755,2.1386206,-0.4791023,-0.27004433,0.598545,29464,715.3312183974915
1700454402684.0,39.9496367,116.3326571,0.4830302,5.801749,1.6561891,-0.39041913,0.020639483,0.5535376,29465,715.3394591863178
1700454402684.0,39.9496402,116.3326718,0.90381116,5.81372,2.046444,-0.13635375,0.34354752,0.43436125,29466,715.3694406039004
1700454402684.0,39.9496439,116.332687,1.0773908,6.042965,2.5683799,0.13156006,0.55060816,0.28083012,29467,715.3694406039004
1700454402684.0,39.9496486,116.3327015,0.81402856,6.7085533,2.6635494,0.27057695,0.63170135,0.2026664,29468,715.3876152634542
1700454402689.0,39.9496541,116.3327178,0.24779987,7.5106106,2.8221653,0.2796317,0.48416233,0.2245043,29469,715.4110167824922
1700454402694.0,39.9496602,116.3327329,-0.19752164,8.249821,2.915539,0.18695377,0.26778066,0.32916647,29470,715.4332106221015
1700454402697.0,39.9496661,116.3327471,-0.2873042,8.814852,2.9346926,0.0972053,0.14953639,0.4554002,29471,715.4556819098201
1700454402699.0,39.9496729,116.3327613,-0.13467385,9.056666,3.3554738,0.08602004,0.0014647375,0.55913025,29472,715.4826062786155
1700454402699.0,39.9496775,116.3327761,0.2908955,9.13388,3.8367083,0.046338968,-0.2467417,0.555535,29473,715.5097709596105
1700454402701.0,39.9496837,116.3327908,1.1049241,9.171588,3.8977604,0.00013315796,-0.3366233,0.42703757,29474,715.5398463441285
1700454402722.0,39.949714,116.3328939,1.9117701,9.552865,4.324527,0.062584236,-0.16564849,0.23369221,29475,715.5688057699882
1700454402736.0,39.9497415,116.3331077,2.3169887,10.274118,5.233725,0.23568958,0.070706874,0.036884755,29476,715.5911681326481
1700454403598.0,39.9497819,116.3331842,-0.32202014,11.526285,6.603807,-0.039414756,0.22144169,0.32437277,29509,716.4766385666837
1700454404585.0,39.9497809,116.3332029,1.2677298,10.09575,5.483919,0.30200225,-0.117312156,0.05805687,29559,717.6584893679261
1700454405582.0,39.949775,116.3332266,-0.8331822,8.413225,2.6868927,-0.34980595,0.14567481,-0.13209268,29609,718.9297687612552
1700454441606.0,39.9497685,116.3332481,0.45130703,10.5680065,5.7760115,0.0652474,0.08602004,0.08921583,31409,764.3871979167313
1700454441692.0,39.9497599,116.3332613,-1.049259,8.892065,8.773552,0.095341094,-0.2932138,0.26298696,31413,764.5145242144806
1700454441705.0,39.9497472,116.3332741,0.078410104,7.7548194,7.443573,0.25193486,-0.5006739,-0.03635212,31414,764.5353814796081
1700454441708.0,39.9497305,116.3332858,0.40821138,8.052897,4.43466,0.19081534,0.0962732,-0.20879167,31415,764.5639152585994
1700454441710.0,39.9497146,116.3332938,-0.36870706,8.782531,2.7275944,-0.0061252657,0.8414251,-0.11278479,31416,764.5763578816773
1700454441710.0,39.9496979,116.3333002,-1.9494787,8.484452,4.6220064,-0.16884428,1.015063,0.1105211,31417,764.6022355288422
1700454441710.0,39.9496826,116.3333054,-1.9494787,8.484452,4.6220064,-0.19427745,0.64435136,0.29121643,31418,764.625648638182
1700454441715.0,39.9496649,116.3333128,-1.5514427,7.557896,5.1301756,-0.09693899,0.12756532,0.32543805,31419,764.6562282062288
1700454441720.0,39.9496498,116.3333161,-0.66738373,6.771401,4.2143936,0.049002126,-0.056991603,0.26365274,31420,764.6677858371877
1700454441723.0,39.9496347,116.3333175,0.108337626,6.271013,2.7982233,0.15752587,0.07017424,0.14421007,31421,764.6864295184362
1700454441732.0,39.9496225,116.3333148,0.6135142,6.0699,1.8166006,0.2549975,0.38149753,0.020772642,31422,764.7037009586522
1700454441732.0,39.9496102,116.3333097,0.6655881,6.1848216,1.5699978,0.37483963,0.64568293,-0.052996866,31423,764.7204307700349
1700454441736.0,39.9495961,116.333307,0.5327099,6.5385647,1.654992,0.43409494,0.6846982,-0.084288985,31424,764.7390027791196
1700454441748.0,39.9495213,116.3333115,0.3645172,7.0593038,1.6525977,0.39161754,0.539556,-0.08815057,31425,764.7600148692171
1700454441773.0,39.9494092,116.3331969,0.35793316,7.6770077,1.4891934,0.32703593,0.4044007,-0.069907926,31426,764.780684226557
1700454442584.0,39.9493976,116.3331336,1.1623849,8.851364,2.8389246,0.23422484,0.3173154,0.07443529,31457,765.6137053218378
1700454443577.0,39.9493957,116.3331219,0.30585927,6.3763576,2.067393,0.2970754,-0.29148278,-0.62091553,31507,766.8955417874487
1700454444578.0,39.9493936,116.3331081,0.7870938,5.93343,2.8688521,0.5484776,-0.24620906,-0.8139946,31557,768.2045410747858
1700454480598.0,39.9493901,116.3330866,1.7328035,11.070788,7.3448124,0.64688134,0.6639256,-0.030360013,33357,812.9094463792838
1700454480651.0,39.9493874,116.3330689,0.3597288,11.926117,6.393716,-0.554736,0.5266397,0.15193322,33359,812.9909688212707
1700454480661.0,39.9493845,116.3330518,-0.36750996,10.869676,8.881291,-0.53462917,0.38802227,0.13795164,33360,813.0094426030756
1700454480671.0,39.9493814,116.3330353,-0.2621651,9.002198,11.109096,0.08255793,0.07190529,-0.14887059,33361,813.046411842798
1700454480671.0,39.9493776,116.33302,0.21428105,8.032547,10.101735,0.6665887,0.05925529,-0.46032706,33362,813.0862212462193
1700454480675.0,39.9493733,116.3330054,0.45190558,8.209718,6.4457893,0.6696513,0.4151865,-0.6131924,33363,813.0873850910153
1700454480679.0,39.9493694,116.3329894,0.050278235,8.756194,3.389591,0.23156169,0.6998782,-0.56991607,33364,813.105976986413
1700454480685.0,39.9493672,116.3329735,-0.48362875,8.711303,2.5719712,-0.12556796,0.7247788,-0.44541335,33365,813.1319116456341
1700454480695.0,39.9493637,116.3329576,-1.0079589,8.41921,2.9933507,-0.15566164,0.6508761,-0.23395853,33366,813.157116885198
1700454480703.0,39.949359,116.3329442,-1.134253,8.039729,3.0627825,-0.04886897,0.57657397,-0.03302317,33367,813.1778041657407
1700454480703.0,39.9493542,116.3329283,-0.90979666,7.460931,2.582745,0.038216334,0.56512237,0.077631086,33368,813.2001464379252
1700454480709.0,39.9493497,116.3329134,-0.8283938,7.0928226,2.0937295,0.12836426,0.6327666,0.15619428,33369,813.2193518922184
